step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
5900,-536.0277099609375,-726.6975708007812,533.0,173.4448699951172,-445.6270446777344,-559.0497436523438,407.0433044433594
6000,40.265098571777344,38.14876937866211,83.0,173.51248168945312,-404.4624328613281,-509.3231201171875,382.07098388671875
6100,-481.0362854003906,-560.8552856445312,455.0,173.5133514404297,-408.2911071777344,-511.89971923828125,385.7174377441406
6200,-485.20989990234375,-659.7086181640625,510.0,173.5133514404297,-412.1370544433594,-519.2901611328125,391.93157958984375
6300,-337.0154724121094,-390.22052001953125,328.0,173.5133514404297,-408.3809814453125,-512.836669921875,388.7349853515625
6400,-526.2647094726562,-694.8741455078125,501.0,173.5133514404297,-414.275146484375,-521.9385375976562,394.3482360839844
6500,-128.61647033691406,-140.49307250976562,198.0,173.5133514404297,-406.6906433105469,-510.32281494140625,388.8367919921875
6600,-162.99974060058594,-161.48304748535156,211.0,173.51364135742188,-376.4543151855469,-466.7615661621094,366.158935546875
6700,-503.5593566894531,-672.8602905273438,479.0,173.51365661621094,-382.8095703125,-477.0664978027344,371.8009948730469
6800,-185.25205993652344,-204.4470977783203,226.0,173.51365661621094,-372.9316711425781,-463.435546875,364.5109558105469
6900,-303.00140380859375,-341.19464111328125,319.0,173.51365661621094,-371.6079406738281,-457.4477233886719,363.1611328125
7000,-214.52479553222656,-249.44898986816406,255.0,173.51365661621094,-363.7537841796875,-447.04779052734375,357.7530822753906
7100,-227.7134246826172,-240.4789581298828,250.0,173.51365661621094,-353.1364440917969,-430.7528991699219,350.3647766113281
7200,-145.07107543945312,-142.6027069091797,188.0,173.51365661621094,-327.1572570800781,-397.10601806640625,331.63671875
7300,-298.794921875,-337.1717224121094,319.0,173.51365661621094,-323.9593811035156,-391.92889404296875,330.30963134765625
7400,-528.9153442382812,-706.7774047851562,513.0,173.51365661621094,-334.2071838378906,-407.67132568359375,339.44415283203125
7500,-360.1539611816406,-393.169677734375,339.0,173.51365661621094,-335.5045166015625,-406.94622802734375,339.4219665527344
7600,-166.9734344482422,-166.49502563476562,204.0,173.51365661621094,-330.2793884277344,-400.0608825683594,335.38580322265625
7700,-157.18655395507812,-164.5319366455078,198.0,173.51365661621094,-328.2991027832031,-396.0221252441406,333.34320068359375
7800,-227.33987426757812,-222.93402099609375,470.0,173.51365661621094,-323.25115966796875,-387.36773681640625,340.176025390625
