step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
5200,-504.2569885253906,-583.9581909179688,430.0,124.606689453125,-429.8813781738281,-531.26904296875,395.1072082519531
5300,-236.05267333984375,-243.38026428222656,257.0,124.606689453125,-425.6455078125,-523.3164672851562,391.9017639160156
5400,-705.4274291992188,-890.8921508789062,492.0,124.60741424560547,-439.63458251953125,-541.6952514648438,396.90667724609375
5500,-256.4183044433594,-274.3233337402344,280.0,124.60741424560547,-443.81536865234375,-546.1431884765625,396.8132629394531
5600,-744.489990234375,-985.5647583007812,587.0,124.60741424560547,-458.84912109375,-568.1142578125,406.3226013183594
5700,-109.71795654296875,-121.61378479003906,175.0,124.60741424560547,-441.3925476074219,-545.7892456054688,394.7564697265625
5800,-72.53997802734375,-66.61978912353516,152.0,124.60759735107422,-409.2616882324219,-504.8251953125,376.2453308105469
5900,-582.322021484375,-710.8152465820312,517.0,124.60759735107422,-417.9147033691406,-515.1246948242188,383.2830810546875
6000,-579.69970703125,-693.6846923828125,520.0,124.6076431274414,-426.00396728515625,-524.0526733398438,390.1189270019531
6100,-526.8003540039062,-677.9409790039062,484.0,124.6076431274414,-431.0437927246094,-531.7471313476562,394.81298828125
6200,-27.074615478515625,-32.63976287841797,138.0,147.3130645751953,-389.6933898925781,-479.284423828125,369.4852600097656
6300,-471.4049377441406,-543.0169067382812,413.0,147.3130645751953,-393.7789611816406,-482.4710388183594,371.6610107421875
6400,-710.2805786132812,-907.8362426757812,509.0,147.3130645751953,-409.60406494140625,-503.73931884765625,378.5279541015625
6500,-468.7136535644531,-540.1236572265625,406.0,153.1883087158203,-412.5595397949219,-505.55853271484375,379.90155029296875
6600,-137.91387939453125,-150.4811248779297,196.0,154.73635864257812,-400.75518798828125,-491.62286376953125,373.75115966796875
6700,-557.0645751953125,-703.7704467773438,510.0,154.73635864257812,-408.5706481933594,-502.2302551269531,380.5635986328125
6800,-261.7854919433594,-310.19671630859375,296.0,154.73635864257812,-401.23138427734375,-492.6285705566406,376.3354187011719
6900,-728.1832275390625,-928.6906127929688,530.0,154.73635864257812,-417.5789794921875,-514.4317016601562,384.0186462402344
7000,-557.7168579101562,-728.7155151367188,535.0,154.73635864257812,-424.58587646484375,-525.1458740234375,391.5677185058594
7100,-172.54916381835938,-313.70562744140625,525.0,154.73635864257812,-411.9840393066406,-514.5738525390625,398.23931884765625
7200,-572.4923706054688,-701.8492431640625,512.0,155.14292907714844,-420.00946044921875,-523.9376220703125,403.9273681640625
7300,-559.67919921875,-702.861083984375,509.0,161.08949279785156,-426.9929504394531,-532.8837890625,409.1809997558594
7400,-395.27642822265625,-443.9971008300781,382.0,161.08949279785156,-425.4071044921875,-528.439453125,407.82196044921875
7500,-244.14707946777344,-265.7524719238281,504.0,161.08949279785156,-416.3441162109375,-515.3051147460938,412.630859375
7600,-523.4024047851562,-622.955078125,453.0,161.08949279785156,-421.697021484375,-520.6876220703125,414.6492919921875
7700,-583.4189453125,-710.7166137695312,517.0,161.08949279785156,-429.78314208984375,-530.1890869140625,419.766845703125
7800,-123.29618072509766,-122.54389190673828,188.0,161.08949279785156,-403.3114318847656,-497.4710388183594,395.1589660644531
7900,-703.7750854492188,-896.9130859375,498.0,161.08949279785156,-418.3345947265625,-517.443115234375,400.301025390625
8000,-353.9458312988281,-387.1856384277344,337.0,161.08949279785156,-415.11517333984375,-510.9302673339844,397.135986328125
