step,init_q,running_discounted_reward,running_reward,running_time
0,10.0,0.0,0.0,0.0
100,10.0,-110.6461181640625,-123.10809326171875,9.925000190734863
200,10.0,-226.1201934814453,-250.30953979492188,19.303749084472656
300,-3.9874680042266846,-322.47540283203125,-358.3992919921875,28.563562393188477
400,-4.001469612121582,-429.51397705078125,-475.8352966308594,37.01038360595703
500,-7.4899582862854,-535.0062255859375,-591.9013671875,44.73486328125
600,-7.4899582862854,-630.311767578125,-696.78662109375,52.598121643066406
700,186.22425842285156,-718.1943969726562,-793.802001953125,60.14321517944336
800,198.385498046875,-805.9056396484375,-889.5941772460938,66.63605499267578
900,198.385498046875,-876.95166015625,-966.3482666015625,72.65425109863281
1000,206.43014526367188,-947.0946655273438,-1041.6396484375,78.44654083251953
1100,229.0938262939453,-1021.6262817382812,-1123.166015625,84.04920959472656
1200,232.51309204101562,-1094.0126953125,-1201.6158447265625,89.37174987792969
1300,233.79876708984375,-1162.3123779296875,-1276.8912353515625,94.77816772460938
1400,235.6282958984375,-1219.3970947265625,-1337.9066162109375,99.31425476074219
1500,235.6282958984375,-1265.7926025390625,-1390.6192626953125,103.77354431152344
1600,236.59744262695312,-1309.1402587890625,-1436.9456787109375,108.05986785888672
1700,236.63331604003906,-1351.7176513671875,-1483.0797119140625,112.35687255859375
1800,236.6616973876953,-1393.93505859375,-1530.908447265625,116.43902587890625
1900,236.6616973876953,-1435.6214599609375,-1577.5970458984375,119.96707916259766
2000,237.07138061523438,-1485.8243408203125,-1632.5740966796875,123.74372100830078
2100,237.0957489013672,-1513.310546875,-1664.6746826171875,127.8065414428711
2200,237.14886474609375,-1546.009765625,-1701.052001953125,130.2412109375
2300,237.17282104492188,-1580.6951904296875,-1739.23388671875,132.879150390625
2400,237.1879425048828,-1540.2947998046875,-1692.3878173828125,131.71018981933594
2500,237.18820190429688,-1566.691162109375,-1721.6234130859375,135.19967651367188
2600,237.18820190429688,-1612.9073486328125,-1772.400146484375,138.0146942138672
2700,237.18820190429688,-1643.742431640625,-1805.5123291015625,140.7639617919922
2800,237.1882781982422,-1691.7098388671875,-1856.5975341796875,142.80076599121094
2900,237.1882781982422,-1713.073974609375,-1880.249755859375,145.46072387695312
3000,237.18829345703125,-1760.1053466796875,-1931.474853515625,146.8376922607422
3100,237.18829345703125,-1778.78466796875,-1950.881591796875,149.39581298828125
3200,237.18829345703125,-1756.1727294921875,-1924.3236083984375,149.77601623535156
3300,237.18829345703125,-1775.7454833984375,-1945.964111328125,152.16221618652344
3400,237.18829345703125,-1791.85107421875,-1964.398681640625,154.0041046142578
3500,237.18829345703125,-1774.9063720703125,-1943.2890625,154.62890625
3600,237.18829345703125,-1790.5499267578125,-1961.8551025390625,156.74745178222656
3700,237.18829345703125,-1810.217041015625,-1984.4942626953125,158.7600860595703
3800,237.18829345703125,-1830.8358154296875,-2006.754150390625,159.82208251953125
3900,237.18829345703125,-1867.30810546875,-2045.776123046875,161.10597229003906
4000,237.18829345703125,-1884.7076416015625,-2065.846435546875,162.42567443847656
4100,237.18829345703125,-1873.9932861328125,-2053.1611328125,163.72938537597656
4200,237.18829345703125,-1889.4727783203125,-2070.612060546875,164.6679229736328
4300,237.18829345703125,-1904.7037353515625,-2087.191650390625,165.5595245361328
4400,237.18829345703125,-1919.76220703125,-2102.689453125,166.95654296875
4500,237.18829345703125,-1931.285888671875,-2116.16259765625,168.03372192382812
4600,237.18829345703125,-1948.597412109375,-2135.090087890625,168.68203735351562
4700,237.18829345703125,-1972.4263916015625,-2160.942138671875,169.97293090820312
4800,237.18829345703125,-1981.7337646484375,-2170.87939453125,170.57427978515625
4900,237.18829345703125,-1994.9560546875,-2185.07177734375,170.89556884765625
5000,237.18829345703125,-2004.11767578125,-2195.80078125,172.05079650878906
5100,237.18829345703125,-2018.1495361328125,-2210.3701171875,172.62326049804688
5200,237.18829345703125,-1979.52392578125,-2164.713623046875,171.41709899902344
5300,237.18829345703125,-1991.27490234375,-2176.962890625,171.8462371826172
5400,237.18829345703125,-1999.8349609375,-2186.472412109375,172.82891845703125
5500,237.18829345703125,-2014.9866943359375,-2202.135498046875,173.0874786376953
5600,237.18829345703125,-2037.099853515625,-2226.135986328125,173.8581085205078
5700,237.18829345703125,-2056.39990234375,-2248.4365234375,174.69020080566406
5800,237.18829345703125,-2057.006591796875,-2251.619873046875,175.98068237304688
5900,237.18829345703125,-2065.366943359375,-2261.14794921875,176.50665283203125
6000,483.5560607910156,-2063.837646484375,-2260.072265625,177.1813201904297
6100,529.7385864257812,-2074.17236328125,-2270.428955078125,177.29725646972656
6200,548.4153442382812,-2078.545654296875,-2276.26611328125,177.80738830566406
6300,548.4153442382812,-2083.552978515625,-2281.935791015625,178.3170166015625
6400,548.4153442382812,-2106.709716796875,-2307.0751953125,178.2511749267578
6500,571.7003173828125,-2070.189697265625,-2264.38525390625,175.82669067382812
6600,571.9798583984375,-2081.7666015625,-2277.90234375,176.08534240722656
6700,571.9798583984375,-2090.201171875,-2288.116455078125,176.4060821533203
6800,585.5119018554688,-2110.99267578125,-2310.443115234375,177.33578491210938
6900,589.0966186523438,-2116.67578125,-2316.1552734375,177.81898498535156
7000,593.6970825195312,-2121.6796875,-2320.457275390625,177.85304260253906
7100,595.1622924804688,-2136.255859375,-2337.291259765625,178.73538208007812
7200,595.1622924804688,-2052.51953125,-2243.668212890625,174.69862365722656
7300,604.1971435546875,-2002.2076416015625,-2186.59423828125,171.15675354003906
7400,612.8366088867188,-1966.7125244140625,-2144.752685546875,169.69891357421875
7500,615.3991088867188,-1904.485107421875,-2074.63330078125,166.1389617919922
7600,616.0629272460938,-1916.1605224609375,-2087.6337890625,167.2820281982422
7700,616.35595703125,-1930.9366455078125,-2104.363037109375,167.84292602539062
7800,616.5242919921875,-1852.1036376953125,-2016.747314453125,163.65948486328125
7900,616.5299072265625,-1833.140380859375,-1994.144775390625,163.9765167236328
8000,616.5962524414062,-1768.6834716796875,-1917.8880615234375,160.88255310058594
8100,616.61083984375,-1810.1636962890625,-1962.7294921875,161.5884246826172
8200,616.6171264648438,-1828.2200927734375,-1982.452880859375,162.58399963378906
8300,616.6200561523438,-1751.996826171875,-1898.0736083984375,158.3048095703125
8400,616.6219482421875,-1779.1678466796875,-1929.5322265625,159.16456604003906
8500,616.6251831054688,-1763.40966796875,-1911.065185546875,157.92352294921875
8600,616.6259765625,-1782.067138671875,-1933.7445068359375,159.37733459472656
8700,616.626220703125,-1816.97900390625,-1973.790771484375,160.95848083496094
8800,616.6277465820312,-1747.193115234375,-1896.46630859375,157.8855438232422
8900,616.6280517578125,-1700.9705810546875,-1843.759765625,155.36627197265625
9000,616.629150390625,-1731.989501953125,-1876.4344482421875,156.0729522705078
9100,616.629638671875,-1750.2369384765625,-1897.0941162109375,157.8693084716797
9200,616.6297607421875,-1767.5802001953125,-1917.7225341796875,159.37583923339844
9300,616.6298217773438,-1766.565185546875,-1914.3531494140625,160.65919494628906
9400,616.6298217773438,-1788.9952392578125,-1940.6212158203125,161.7262420654297
9500,616.6298217773438,-1809.6868896484375,-1963.82568359375,162.58993530273438
9600,616.6298217773438,-1796.79296875,-1947.6217041015625,162.51043701171875
9700,616.6298217773438,-1755.6185302734375,-1899.855224609375,160.659912109375
9800,616.6298217773438,-1684.8321533203125,-1820.2415771484375,157.5368194580078
9900,616.6298217773438,-1686.472900390625,-1820.3380126953125,158.9349822998047
10000,616.6298217773438,-1683.8043212890625,-1816.1844482421875,158.96322631835938
10100,616.6298217773438,-1670.77734375,-1800.8623046875,158.8150634765625
10200,616.6298217773438,-1668.2860107421875,-1795.6827392578125,158.64930725097656
10300,616.6298217773438,-1695.518798828125,-1827.8822021484375,160.016845703125
10400,616.6298217773438,-1720.9664306640625,-1857.0970458984375,161.2410125732422
10500,616.6298217773438,-1745.31689453125,-1885.7276611328125,162.3789520263672
10600,616.6298217773438,-1771.4822998046875,-1914.0540771484375,162.6850128173828
10700,616.6298217773438,-1743.5740966796875,-1881.46484375,161.3257598876953
10800,616.6298217773438,-1779.42333984375,-1921.8726806640625,162.95947265625
10900,616.6298217773438,-1763.7508544921875,-1903.51220703125,163.6114959716797
11000,616.6298217773438,-1786.1956787109375,-1930.5723876953125,164.38092041015625
11100,616.6298217773438,-1776.8074951171875,-1917.781005859375,164.2118682861328
11200,616.6298217773438,-1740.0701904296875,-1873.9000244140625,162.59121704101562
11300,616.6298217773438,-1607.148193359375,-1728.5628662109375,154.7348175048828
11400,616.6298217773438,-1604.2760009765625,-1723.9954833984375,155.22308349609375
11500,616.6298217773438,-1637.045166015625,-1762.031982421875,156.21192932128906
11600,616.6298217773438,-1582.2371826171875,-1701.5479736328125,152.97633361816406
11700,616.6298217773438,-1526.8848876953125,-1638.68408203125,149.90489196777344
11800,616.6298217773438,-1478.908447265625,-1587.802490234375,145.9254150390625
11900,616.6298217773438,-1456.13330078125,-1561.153564453125,144.37913513183594
12000,616.6298217773438,-1431.6142578125,-1535.3511962890625,142.61341857910156
12100,616.6298217773438,-1464.9456787109375,-1574.813720703125,145.63275146484375
12200,616.6298217773438,-1408.2216796875,-1512.5667724609375,142.151123046875
12300,616.6298217773438,-1405.93115234375,-1506.8031005859375,141.76763916015625
12400,616.6298217773438,-1445.23193359375,-1550.824462890625,143.25425720214844
12500,616.6298217773438,-1504.13525390625,-1616.270263671875,144.69154357910156
12600,616.6298217773438,-1462.713623046875,-1569.82568359375,142.03196716308594
12700,616.6298217773438,-1416.7491455078125,-1515.6458740234375,139.0550994873047
12800,616.6298217773438,-1452.4210205078125,-1557.0958251953125,141.8523406982422
12900,616.6298217773438,-1415.3101806640625,-1515.358642578125,139.584716796875
13000,616.6298217773438,-1415.87548828125,-1514.2015380859375,140.73048400878906
13100,616.6298217773438,-1458.7100830078125,-1561.227783203125,142.34396362304688
13200,616.6298217773438,-1465.0955810546875,-1566.276123046875,143.75177001953125
13300,616.6298217773438,-1426.9161376953125,-1526.1483154296875,140.05096435546875
13400,616.6298217773438,-1295.44873046875,-1381.5322265625,132.20370483398438
13500,616.6298217773438,-1337.6834716796875,-1430.43994140625,134.8935089111328
13600,616.6298217773438,-1321.7518310546875,-1412.903564453125,135.24884033203125
13700,616.6298217773438,-1362.3802490234375,-1459.4918212890625,137.83639526367188
13800,616.6298217773438,-1371.0057373046875,-1466.8802490234375,138.569580078125
13900,616.6298217773438,-1347.50048828125,-1439.405029296875,136.56610107421875
14000,616.6156005859375,-1379.6507568359375,-1474.98828125,137.96090698242188
14100,616.6156005859375,-1339.55615234375,-1430.854248046875,136.23785400390625
14200,616.6071166992188,-1314.5164794921875,-1401.5611572265625,134.39842224121094
14300,616.608154296875,-1240.5673828125,-1320.3404541015625,129.8333282470703
14400,616.6126708984375,-1247.7386474609375,-1326.31005859375,130.941650390625
14500,616.6170043945312,-1218.912109375,-1293.8795166015625,128.7273406982422
14600,616.6207275390625,-1267.1507568359375,-1349.418701171875,131.84097290039062
14700,616.606201171875,-1279.4361572265625,-1362.9322509765625,133.64892578125
14800,616.4562377929688,-1245.717041015625,-1325.529296875,131.41648864746094
14900,616.40869140625,-1251.1112060546875,-1329.991943359375,131.94566345214844
15000,616.38818359375,-1233.163818359375,-1309.45068359375,132.35720825195312
15100,616.4619750976562,-1248.531005859375,-1326.46435546875,133.93934631347656
15200,616.5257568359375,-1207.016845703125,-1279.47265625,131.64401245117188
15300,616.6124877929688,-1211.5013427734375,-1283.36181640625,132.4368133544922
15400,616.6251831054688,-1166.654541015625,-1232.684326171875,128.3417205810547
15500,616.6287231445312,-1128.251220703125,-1190.542236328125,126.1246337890625
15600,616.6290283203125,-1179.069091796875,-1249.2479248046875,129.16839599609375
15700,616.629150390625,-1168.17138671875,-1236.593505859375,129.2632293701172
15800,616.6293334960938,-1124.181640625,-1188.9969482421875,126.69757080078125
15900,616.6294555664062,-1151.4476318359375,-1219.6549072265625,129.68768310546875
16000,616.6295776367188,-1206.946533203125,-1282.5345458984375,131.6782989501953
16100,616.629638671875,-1251.545654296875,-1334.3890380859375,134.7943878173828
16200,616.6296997070312,-1162.5135498046875,-1237.935302734375,129.5494384765625
16300,616.6297607421875,-1162.3260498046875,-1235.7799072265625,129.17196655273438
16400,616.6298217773438,-1150.8331298828125,-1222.6884765625,129.04644775390625
