step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
4800,-149.2918243408203,-145.5349884033203,191.0,10.0,-416.2959899902344,-520.4658813476562,372.4072570800781
4900,94.60272979736328,102.2134780883789,63.0,10.0,-367.5743103027344,-456.3970642089844,342.6800537109375
5000,-726.064453125,-940.6696166992188,542.0,12.983981132507324,-385.4988098144531,-480.6106872558594,352.64605712890625
5100,8.605327606201172,16.305362701416016,113.0,26.40180778503418,-365.9571533203125,-453.4182434082031,340.1105651855469
5200,-449.1328125,-530.1127319335938,392.0,26.40180778503418,-362.7064514160156,-445.9008483886719,337.5697937011719
5300,-543.1403198242188,-712.8251953125,519.0,26.40180778503418,-371.7281494140625,-459.2470703125,346.64129638671875
5400,34.05947494506836,35.26942825317383,102.0,72.96031188964844,-333.12762451171875,-409.64532470703125,322.46533203125
5500,-573.9075927734375,-782.4004516601562,589.0,72.96031188964844,-345.1666259765625,-428.2830810546875,335.79205322265625
5600,-736.4673461914062,-954.6198120117188,556.0,91.6932601928711,-364.7316589355469,-454.59991455078125,346.8024597167969
5700,2.998802423477173,5.35622501373291,124.0,91.6932601928711,-331.0694274902344,-411.6565246582031,325.64923095703125
5800,-489.9159240722656,-628.06982421875,434.0,91.6932601928711,-339.0117492675781,-422.4771728515625,331.0667724609375
5900,-195.47642517089844,-203.37928771972656,237.0,91.6932601928711,-341.1610412597656,-422.56793212890625,332.5352478027344
6000,-738.2593994140625,-965.6168212890625,567.0,91.6932601928711,-361.0159606933594,-449.7203674316406,344.25848388671875
6100,-265.47589111328125,-281.3863220214844,263.0,91.6932601928711,-352.6054382324219,-434.154541015625,337.7607727050781
6200,-506.2082214355469,-615.8982543945312,454.0,91.6932601928711,-360.2855529785156,-443.2417297363281,343.57275390625
6300,-285.452880859375,-321.3562927246094,283.0,91.6932601928711,-340.74884033203125,-417.4539489746094,330.3994140625
6400,-713.943115234375,-905.7824096679688,507.0,91.6932601928711,-359.4085693359375,-441.8703918457031,339.22943115234375
6500,-558.7944946289062,-732.75244140625,539.0,91.6932601928711,-369.37786865234375,-456.41448974609375,349.21795654296875
6600,-150.49949645996094,-147.57180786132812,189.0,117.54878997802734,-332.51202392578125,-406.8523864746094,323.5738830566406
6700,-48.887413024902344,-41.66871643066406,135.0,117.54878997802734,-324.93035888671875,-394.6352844238281,318.1554260253906
6800,-149.6878204345703,-154.66053771972656,184.0,124.4613265991211,-316.168212890625,-382.63653564453125,311.4476623535156
6900,-51.80548858642578,-42.647682189941406,144.0,126.8338394165039,-313.0703430175781,-379.0939636230469,310.7015075683594
7000,-276.2483825683594,-289.3203125,283.0,126.8338394165039,-311.229248046875,-374.60528564453125,309.3164367675781
7100,-490.4668273925781,-641.0368041992188,447.0,126.8338394165039,-320.1911315917969,-387.9268493652344,316.20062255859375
7200,-184.16514587402344,-183.4989471435547,217.0,126.9708480834961,-294.789306640625,-351.6014404296875,307.25335693359375
7300,-293.2659912109375,-309.424072265625,271.0,126.9708480834961,-284.7477111816406,-337.7098388671875,299.06365966796875
7400,-361.4750671386719,-446.1396484375,372.0,126.9708480834961,-288.5840759277344,-343.13134765625,302.7104797363281
7500,-517.7308959960938,-596.0567626953125,434.0,126.9708480834961,-300.0414123535156,-355.7776184082031,309.27496337890625
7600,-535.127197265625,-675.8095092773438,482.0,126.9708480834961,-311.7956848144531,-371.7792053222656,317.9112243652344
7700,-290.3606262207031,-321.2317199707031,291.0,127.00804901123047,-330.6116943359375,-396.225341796875,327.162353515625
7800,152.47120666503906,205.46409606933594,217.0,127.00804901123047,-306.4575500488281,-366.140869140625,321.65423583984375
7900,-528.8514404296875,-682.8174438476562,489.0,150.54074096679688,-317.5772399902344,-381.9747009277344,330.02154541015625
8000,-515.9678344726562,-678.7646484375,485.0,150.54074096679688,-327.49676513671875,-396.814208984375,337.77044677734375
8100,-303.0853576660156,-324.1387634277344,322.0,157.1555938720703,-334.8656921386719,-403.2574462890625,341.9803466796875
8200,-3.8636398315429688,-0.7295382618904114,114.0,159.0329132080078,-308.8019104003906,-370.2690734863281,323.9322509765625
8300,-716.2792358398438,-911.7644653320312,513.0,159.0329132080078,-329.17578125,-397.3438415527344,333.3856506347656
8400,-365.80859375,-398.2275695800781,332.0,159.0329132080078,-331.0074157714844,-397.3880310058594,333.3163757324219
8500,-536.2402954101562,-675.8085327148438,482.0,159.0329132080078,-341.26904296875,-411.3090515136719,340.75054931640625
8600,-336.6799011230469,-403.2574157714844,325.0,159.0329132080078,-358.8674011230469,-435.10015869140625,348.5723571777344
8700,-571.40576171875,-691.8212890625,498.0,159.0329132080078,-369.49432373046875,-447.93621826171875,356.04376220703125
8800,-18.035696029663086,-8.680712699890137,118.0,159.56332397460938,-351.92138671875,-425.97344970703125,344.1415710449219
8900,-323.70355224609375,-359.2654724121094,313.0,159.56332397460938,-356.7762451171875,-431.95050048828125,346.5677490234375
9000,122.20211029052734,129.11578369140625,44.0,166.126220703125,-342.44451904296875,-416.3285217285156,339.2973937988281
9100,76.97205352783203,84.18661499023438,73.0,169.8955535888672,-318.67034912109375,-388.2240295410156,336.6083984375
9200,-39.53907012939453,-30.621845245361328,132.0,171.00169372558594,-304.7137756347656,-370.34393310546875,326.37799072265625
9300,-156.0783233642578,-156.56085205078125,198.0,171.00169372558594,-309.1646728515625,-373.6028137207031,326.7811279296875
9400,-20.514705657958984,-15.715519905090332,129.0,171.32720947265625,-258.0662536621094,-311.7646484375,302.30609130859375
9500,-434.8218994140625,-496.9850769042969,403.0,171.4239959716797,-274.5543212890625,-328.5015869140625,310.603759765625
9600,-285.90118408203125,-311.3432922363281,281.0,171.4530487060547,-275.1216735839844,-327.6436767578125,309.1235656738281
9700,-12.472540855407715,-7.732540130615234,113.0,171.46441650390625,-258.22113037109375,-304.95050048828125,293.2306823730469
9800,-708.5982055664062,-890.8662109375,492.0,171.46441650390625,-280.739990234375,-334.24627685546875,303.1691589355469
9900,-710.9217529296875,-905.7276611328125,507.0,171.46441650390625,-302.2490539550781,-362.8203430175781,313.3606872558594
10000,-180.6954803466797,-196.39122009277344,234.0,171.46441650390625,-296.17138671875,-354.4989013671875,309.3926696777344
10100,-73.00804138183594,-64.58489990234375,154.0,171.46441650390625,-282.916748046875,-338.1966247558594,300.0547790527344
10200,-25.4722900390625,-15.730496406555176,121.0,171.46441650390625,-270.0445251464844,-322.07330322265625,291.10205078125
10300,-543.0233154296875,-666.9451293945312,473.0,171.46441650390625,-283.6934509277344,-339.31689453125,300.1969299316406
10400,-15.642281532287598,-6.7115631103515625,120.0,171.46441650390625,-256.3341064453125,-308.15557861328125,283.8387756347656
10500,-482.9670104980469,-569.0228881835938,431.0,171.46441650390625,-267.6657409667969,-321.1989440917969,291.19683837890625
10600,18.16165542602539,59.64369201660156,287.0,171.46441650390625,-253.37437438964844,-302.15679931640625,290.9869689941406
10700,-560.77978515625,-665.9799194335938,472.0,171.46441650390625,-268.7446594238281,-320.34796142578125,300.0376281738281
10800,-550.1985473632812,-685.7325439453125,508.0,171.4652099609375,-291.105712890625,-347.1506042480469,315.4689636230469
10900,-338.82843017578125,-363.2535400390625,313.0,171.4652099609375,-293.4918518066406,-347.95574951171875,315.34552001953125
11000,-692.5562744140625,-868.8883056640625,470.0,171.4654541015625,-313.445068359375,-374.00238037109375,323.0782470703125
11100,83.73165130615234,116.64969635009766,266.0,171.4654541015625,-293.58624267578125,-349.46978759765625,320.2243347167969
11200,-204.4834442138672,-230.98403930664062,442.0,171.4654541015625,-289.131103515625,-343.5455017089844,326.3131103515625
11300,-354.74517822265625,-441.12078857421875,359.0,171.4654541015625,-290.23162841796875,-344.44415283203125,335.77008056640625
11400,103.46720123291016,109.10477447509766,48.0,171.4654541015625,-256.7477722167969,-303.61236572265625,320.489990234375
11500,70.51886749267578,76.1955795288086,73.0,171.4655303955078,-262.0224609375,-313.2715148925781,317.022216796875
11600,-179.48928833007812,-171.9340362548828,447.0,171.4655303955078,-257.89581298828125,-306.2046203613281,323.5211181640625
11700,-560.4080200195312,-660.8701171875,491.0,171.4655303955078,-273.02142333984375,-323.9378967285156,331.8950500488281
11800,-272.16253662109375,-279.7635803222656,491.0,171.4655303955078,-272.9784851074219,-321.72918701171875,339.8503112792969
11900,-497.5345764160156,-658.93505859375,465.0,171.4655303955078,-284.2062683105469,-338.5894775390625,346.1077880859375
12000,-598.2945556640625,-735.6088256835938,542.0,171.4655303955078,-299.9106750488281,-358.4404602050781,355.90240478515625
12100,-129.960205078125,-103.04991912841797,390.0,171.46554565429688,-291.4131774902344,-345.6709289550781,357.6072692871094
12200,-69.65425872802734,-61.7015495300293,139.0,171.51295471191406,-275.647705078125,-322.468994140625,348.83306884765625
12300,-141.15602111816406,-235.83148193359375,462.0,171.54385375976562,-268.9231262207031,-318.1371154785156,354.4914245605469
12400,-25.860340118408203,-22.74941635131836,124.0,171.553955078125,-253.99952697753906,-303.1536865234375,351.0660095214844
12500,-498.5080871582031,-662.8922119140625,469.0,171.553955078125,-266.2249450683594,-321.140625,356.96270751953125
12600,-183.76553344726562,-186.41229248046875,220.0,171.553955078125,-262.10198974609375,-314.4042053222656,350.11456298828125
12700,-258.11444091796875,-270.85833740234375,482.0,171.553955078125,-261.9026184082031,-312.2269287109375,356.7088317871094
