step,init_q,running_discounted_reward,running_reward,running_time
9400,638.6687622070312,-1386.3834228515625,-1501.418212890625,171.11000061035156
9500,638.6688232421875,-1382.6673583984375,-1495.832763671875,171.1044921875
9600,638.6688232421875,-1367.482666015625,-1477.0289306640625,170.0492706298828
9700,638.6688232421875,-1321.091796875,-1423.20361328125,167.55697631835938
9800,638.6688232421875,-1353.0458984375,-1459.2747802734375,168.9291229248047
9900,638.6685791015625,-1301.305419921875,-1402.3026123046875,164.982666015625
10000,638.6685180664062,-1336.7100830078125,-1443.1715087890625,166.03353881835938
10100,638.6532592773438,-1324.4395751953125,-1431.16455078125,166.41775512695312
10200,638.6531982421875,-1259.2889404296875,-1359.601318359375,161.3468780517578
10300,638.6531982421875,-1244.2052001953125,-1344.8740234375,160.0030517578125
10400,638.6532592773438,-1185.876220703125,-1280.6231689453125,156.25289916992188
10500,638.67138671875,-1157.443359375,-1245.9443359375,156.3232421875
10600,638.6719970703125,-1163.147216796875,-1251.3797607421875,157.4570770263672
10700,638.6729125976562,-1130.7520751953125,-1215.0511474609375,154.8842315673828
10800,638.6729736328125,-1148.757568359375,-1234.703125,155.67800903320312
10900,638.6732177734375,-1190.8626708984375,-1282.949951171875,157.5941162109375
11000,638.67333984375,-1099.525634765625,-1182.7081298828125,151.27618408203125
11100,638.6734008789062,-1142.2158203125,-1230.05322265625,153.71237182617188
11200,638.6734008789062,-1012.0897216796875,-1089.7393798828125,143.71292114257812
11300,638.6734619140625,-999.4982299804688,-1073.5364990234375,144.20840454101562
11400,638.6734619140625,-997.6559448242188,-1069.0965576171875,144.09799194335938
11500,638.6734619140625,-959.6047973632812,-1023.9344482421875,142.79344177246094
11600,638.6734619140625,-907.24267578125,-965.4566040039062,139.32858276367188
11700,638.6734619140625,-937.8546142578125,-997.4143676757812,142.4121551513672
11800,638.6734619140625,-924.4136962890625,-982.0331420898438,140.99154663085938
11900,638.6734619140625,-924.7764892578125,-981.41552734375,141.6919708251953
12000,638.6734619140625,-887.5892333984375,-940.0406494140625,140.1269989013672
12100,638.6734619140625,-882.5447387695312,-934.3800048828125,141.63711547851562
12200,638.6734619140625,-938.5469360351562,-996.1414794921875,144.5552520751953
12300,638.6734619140625,-983.0955810546875,-1048.8128662109375,147.927490234375
12400,638.6734619140625,-1030.6593017578125,-1102.855224609375,149.93112182617188
12500,638.6734619140625,-1051.5772705078125,-1123.695556640625,151.6345672607422
12600,638.6734619140625,-1098.4166259765625,-1175.9945068359375,153.4528350830078
12700,638.6734619140625,-1136.805419921875,-1220.4251708984375,155.93019104003906
12800,638.6734619140625,-1134.901611328125,-1217.6385498046875,156.08367919921875
12900,638.6734619140625,-1175.660400390625,-1265.489013671875,157.92950439453125
13000,638.6734619140625,-1180.139892578125,-1268.196044921875,159.08302307128906
