step,init_q,running_discounted_reward,running_reward,running_time
9300,616.11083984375,-1420.5814208984375,-1529.8458251953125,147.46426391601562
9400,622.345458984375,-1417.876953125,-1525.4925537109375,147.821044921875
9500,622.9157104492188,-1371.10546875,-1476.458740234375,144.0070037841797
9600,623.7516479492188,-1406.4598388671875,-1516.319580078125,146.24664306640625
9700,623.7516479492188,-1443.317138671875,-1558.341064453125,147.8043212890625
9800,626.9124145507812,-1478.8497314453125,-1597.609375,149.55410766601562
9900,626.9124145507812,-1470.4365234375,-1586.9263916015625,148.62857055664062
10000,629.951416015625,-1508.9754638671875,-1628.8189697265625,149.7471466064453
10100,630.4711303710938,-1541.34228515625,-1664.063720703125,151.29978942871094
10200,630.5768432617188,-1427.4525146484375,-1538.8612060546875,143.53106689453125
10300,630.9829711914062,-1330.214111328125,-1431.0198974609375,137.62628173828125
10400,631.8726806640625,-1291.9873046875,-1387.6195068359375,135.3782196044922
10500,632.4144897460938,-1235.2144775390625,-1325.7808837890625,132.6693115234375
10600,632.4144897460938,-1279.6358642578125,-1375.427734375,134.92584228515625
10700,632.9874877929688,-1318.08935546875,-1418.3905029296875,137.62954711914062
10800,633.0158081054688,-1307.478271484375,-1404.5128173828125,137.00807189941406
10900,633.0311279296875,-1294.5316162109375,-1393.0830078125,135.31578063964844
11000,633.0316772460938,-1298.9844970703125,-1397.1759033203125,134.9250030517578
11100,633.0374755859375,-1347.4320068359375,-1449.2568359375,136.46875
11200,633.04296875,-1329.635009765625,-1428.435791015625,135.7753143310547
11300,633.0513305664062,-1368.3424072265625,-1471.9493408203125,138.0765380859375
11400,633.0513305664062,-1326.97998046875,-1428.3653564453125,136.35958862304688
11500,633.055419921875,-1201.754150390625,-1292.2203369140625,128.3875274658203
11600,633.0574951171875,-1144.2596435546875,-1228.473388671875,125.09873962402344
11700,633.0574951171875,-1107.4154052734375,-1185.1231689453125,123.54511260986328
11800,633.0577392578125,-1086.60986328125,-1161.158447265625,122.8278579711914
11900,633.057861328125,-1131.528564453125,-1212.8857421875,125.94646453857422
