step,init_q,running_discounted_reward,running_reward,running_time
4800,146.22476196289062,-2267.296630859375,-2380.494873046875,88.85252380371094
4900,146.22412109375,-2159.18505859375,-2266.469970703125,86.00989532470703
5000,119.89765930175781,-2146.81298828125,-2252.314208984375,86.47393035888672
5100,116.08851623535156,-2166.239990234375,-2273.198486328125,87.15023803710938
5200,116.08851623535156,-2184.3876953125,-2293.03857421875,87.792724609375
5300,130.06561279296875,-2202.301025390625,-2311.88671875,88.40309143066406
5400,135.0993194580078,-2234.99755859375,-2346.292236328125,88.9829330444336
5500,230.26820373535156,-2251.04052734375,-2362.477783203125,89.53378295898438
5600,266.3615417480469,-2265.15966796875,-2377.853759765625,90.05709838867188
5700,275.1992492675781,-2237.775634765625,-2347.961181640625,89.95423889160156
5800,305.5983581542969,-2195.654541015625,-2301.56298828125,89.25653076171875
5900,321.6922302246094,-2228.68359375,-2336.48486328125,89.793701171875
6000,336.2096862792969,-2245.027099609375,-2353.16064453125,90.30401611328125
6100,343.47406005859375,-2259.955322265625,-2369.002685546875,90.788818359375
6200,367.0676574707031,-2274.385498046875,-2384.052490234375,91.24937438964844
6300,380.335205078125,-2288.0322265625,-2398.349853515625,91.68690490722656
6400,393.2047119140625,-2300.253173828125,-2411.932373046875,92.1025619506836
6500,393.2047119140625,-2311.683837890625,-2424.835693359375,92.4974365234375
6600,429.41387939453125,-2338.911376953125,-2453.593994140625,92.87256622314453
6700,429.41387939453125,-2314.815185546875,-2427.414306640625,92.87893676757812
6800,422.4602355957031,-2252.618408203125,-2360.543701171875,91.4849853515625
6900,420.69500732421875,-2243.244140625,-2349.516357421875,91.91073608398438
7000,441.77850341796875,-2257.881591796875,-2365.54052734375,92.31520080566406
7100,449.286865234375,-2209.468994140625,-2313.225341796875,91.21446990966797
7200,462.2873840332031,-2225.95458984375,-2331.064208984375,91.65374755859375
7300,471.4084167480469,-2241.1982421875,-2348.010986328125,92.07106018066406
7400,473.7645263671875,-2255.986083984375,-2364.1103515625,92.4675064086914
7500,481.8004150390625,-2121.565185546875,-2221.134521484375,89.16442108154297
7600,488.14776611328125,-2158.298828125,-2260.077880859375,89.7061996459961
7700,486.33453369140625,-2094.08203125,-2191.073974609375,88.12089538574219
7800,486.33453369140625,-2116.12939453125,-2215.020263671875,88.71485137939453
7900,485.9163818359375,-2137.627197265625,-2237.769287109375,89.27910614013672
8000,485.91082763671875,-2157.303466796875,-2259.380859375,89.81514739990234
8100,485.9369201660156,-2175.9794921875,-2279.911865234375,90.32439422607422
8200,485.9369201660156,-2130.8671875,-2230.916259765625,89.40817260742188
8300,477.8919677734375,-2151.075439453125,-2252.870361328125,89.9377670288086
8400,475.74859619140625,-2170.16015625,-2273.726806640625,90.44087982177734
8500,471.5484313964844,-2188.209716796875,-2293.54052734375,90.91883087158203
8600,468.2310791015625,-2205.64697265625,-2312.363525390625,91.37289428710938
8700,465.2055358886719,-2184.779541015625,-2288.745361328125,91.30424499511719
8800,462.1688232421875,-2132.86376953125,-2231.11767578125,90.71458435058594
8900,461.35931396484375,-2106.763427734375,-2202.561767578125,90.37885284423828
9000,461.3501892089844,-2128.7294921875,-2225.93359375,90.85990905761719
9100,461.2205810546875,-2165.104736328125,-2264.636962890625,91.3169174194336
9200,461.2176513671875,-2184.2001953125,-2284.905029296875,91.75106811523438
9300,461.2186584472656,-2032.110595703125,-2124.376953125,87.67533874511719
9400,458.64605712890625,-1989.4378662109375,-2078.657958984375,86.74156951904297
9500,457.57012939453125,-2016.94091796875,-2108.22509765625,87.40449523925781
9600,461.18212890625,-1999.037353515625,-2088.81396484375,87.33426666259766
9700,471.6368103027344,-1953.4635009765625,-2040.9794921875,85.96917724609375
9800,471.6368103027344,-1896.3800048828125,-1979.9305419921875,84.47071838378906
9900,475.3805847167969,-1826.3187255859375,-1904.412353515625,82.94732666015625
10000,475.3805847167969,-1823.977294921875,-1901.191650390625,83.29995727539062
10100,475.5200500488281,-1749.006591796875,-1820.9754638671875,81.47821044921875
10200,476.62957763671875,-1709.3160400390625,-1778.4267578125,80.45429992675781
10300,478.078369140625,-1658.76416015625,-1724.50537109375,79.03158569335938
10400,478.21112060546875,-1703.1920166015625,-1771.7801513671875,80.08000946044922
10500,478.2569580078125,-1745.4757080078125,-1816.691162109375,81.07600402832031
10600,486.6976318359375,-1705.5755615234375,-1775.8887939453125,79.67109680175781
10700,488.18853759765625,-1715.1434326171875,-1785.0943603515625,80.38754272460938
10800,488.2873840332031,-1732.766845703125,-1802.839599609375,81.3681640625
10900,488.7067565917969,-1642.5023193359375,-1708.6627197265625,78.94976806640625
11000,490.892822265625,-1687.128662109375,-1756.7296142578125,80.00228118896484
11100,491.5882263183594,-1657.5167236328125,-1726.2734375,78.85205841064453
11200,491.5882263183594,-1701.198486328125,-1773.4598388671875,79.90945434570312
